Nome,Status,Score,Bloco A,Bloco B,Bloco C,Bloco D,Bloco E,Falhas
"Jair Bolsonaro","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Jerônimo Rodrigues","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Bruno Reis","vermelho",70,5/5,9/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B4: Score compatível com status; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Eduardo Paes","vermelho",73,5/5,9/14,2/4,6/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; B14: C1 calculado corretamente; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; E1: Nota final calculada corretamente"
"Fuad Noman","vermelho",73,5/5,9/14,2/4,6/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; B14: C1 calculado corretamente; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; E1: Nota final calculada corretamente"
"Eduardo Leite","vermelho",73,5/5,9/14,2/4,6/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; B14: C1 calculado corretamente; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; E1: Nota final calculada corretamente"
"Ricardo Nunes","vermelho",73,5/5,9/14,2/4,6/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; B14: C1 calculado corretamente; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; E1: Nota final calculada corretamente"
"Evandro Leitão","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Tarcísio Gomes de Freitas","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Luiz Inácio Lula da Silva","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B11: Nenhuma evidência pode ser de rede social (Instagram, Facebook, TikTok, Twitter/X); B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Romeu Zema","vermelho",73,5/5,10/14,2/4,5/6,2/3,"A6: Tem classificação de verificado; B1: Mínimo 5 promessas cadastradas; B5: Motivo do Score preenchido (sem placeholder); B6: O que foi concluído preenchido; B13: Critério não é herança automática; C1: Todas as 3 categorias de indicadores populadas; C2: Todos os 9 indicadores com score; D1: C3 calculado corretamente; E1: Nota final calculada corretamente"
"Cláudio Castro","verde",100,6/5,14/14,4/4,6/6,3/3,""
